Column,Missing_Count,Missing_Percentage,Data_Type
quarterly_balance_sheet.2025-08-31,977,98.09,object
annual_cashflow.2024-04-30,977,98.09,object
annual_cashflow.2021-05-31,977,98.09,object
annual_cashflow.2021-07-31,977,98.09,object
annual_cashflow.2025-04-30,977,98.09,object
annual_balance_sheet.2021-07-31,977,98.09,object
annual_balance_sheet.2022-07-31,977,98.09,object
annual_balance_sheet.2021-05-31,977,98.09,object
annual_cashflow.2025-05-31,977,98.09,object
annual_cashflow.2022-07-31,977,98.09,object
annual_cashflow.2021-04-30,976,97.99,object
annual_cashflow.2025-09-30,976,97.99,object
annual_balance_sheet.2023-05-31,976,97.99,object
annual_balance_sheet.2025-09-30,976,97.99,object
annual_income.2025-09-30,976,97.99,object
quarterly_income.2025-08-31,975,97.89,object
annual_income.2023-09-30,974,97.79,object
annual_cashflow.2023-09-30,974,97.79,object
annual_income.2021-09-30,973,97.69,object
annual_cashflow.2021-09-30,973,97.69,object
annual_balance_sheet.2023-09-30,972,97.59,object
annual_balance_sheet.2021-09-30,972,97.59,object
annual_income.2022-09-30,969,97.29,object
annual_balance_sheet.2022-09-30,969,97.29,object
annual_cashflow.2022-09-30,969,97.29,object
quarterly_income.2025-07-31,967,97.09,object
quarterly_cashflow.2025-07-31,966,96.99,object
quarterly_balance_sheet.2025-07-31,966,96.99,object
annual_cashflow.2024-09-30,963,96.69,object
annual_income.2024-09-30,963,96.69,object
annual_balance_sheet.2024-09-30,963,96.69,object
quarterly_income.2024-04-30,950,95.38,object
quarterly_income.2024-05-31,950,95.38,object
quarterly_cashflow.2024-05-31,947,95.08,object
quarterly_balance_sheet.2024-05-31,946,94.98,object
quarterly_cashflow.2024-08-31,945,94.88,object
quarterly_cashflow.2025-05-31,945,94.88,object
quarterly_cashflow.2025-02-28,945,94.88,object
quarterly_balance_sheet.2024-08-31,944,94.78,object
quarterly_income.2025-05-31,944,94.78,object
quarterly_balance_sheet.2025-05-31,944,94.78,object
quarterly_balance_sheet.2024-11-30,944,94.78,object
quarterly_cashflow.2024-11-30,944,94.78,object
quarterly_income.2025-02-28,943,94.68,object
quarterly_income.2024-11-30,943,94.68,object
quarterly_income.2024-08-31,943,94.68,object
quarterly_balance_sheet.2025-02-28,943,94.68,object
quarterly_balance_sheet.2024-04-30,939,94.28,object
quarterly_cashflow.2024-04-30,936,93.98,object
quarterly_income.2024-07-31,935,93.88,object
quarterly_balance_sheet.2024-07-31,934,93.78,object
quarterly_cashflow.2024-07-31,934,93.78,object
quarterly_income.2024-10-31,933,93.67,object
quarterly_cashflow.2025-04-30,933,93.67,object
quarterly_cashflow.2024-10-31,933,93.67,object
quarterly_balance_sheet.2024-10-31,933,93.67,object
quarterly_cashflow.2025-01-31,932,93.57,object
quarterly_income.2025-04-30,932,93.57,object
quarterly_balance_sheet.2025-04-30,932,93.57,object
quarterly_balance_sheet.2025-01-31,932,93.57,object
quarterly_income.2025-01-31,932,93.57,object
annual_income.2021-03-31,913,91.67,object
annual_income.2024-03-31,885,88.86,object
annual_cashflow.2024-03-31,885,88.86,object
annual_cashflow.2021-03-31,885,88.86,object
annual_balance_sheet.2024-03-31,885,88.86,object
annual_balance_sheet.2021-03-31,885,88.86,object
annual_cashflow.2023-03-31,882,88.55,object
annual_cashflow.2022-03-31,882,88.55,object
annual_income.2023-03-31,882,88.55,object
annual_balance_sheet.2023-03-31,882,88.55,object
annual_income.2022-03-31,881,88.45,object
annual_balance_sheet.2022-03-31,880,88.35,object
annual_cashflow.2025-03-31,879,88.25,object
annual_balance_sheet.2025-03-31,879,88.25,object
annual_income.2025-03-31,879,88.25,object
annual_income.2021-06-30,838,84.14,object
annual_cashflow.2021-06-30,833,83.63,object
annual_balance_sheet.2021-06-30,830,83.33,object
annual_balance_sheet.2023-06-30,828,83.13,object
annual_income.2023-06-30,828,83.13,object
annual_cashflow.2023-06-30,828,83.13,object
annual_income.2022-06-30,827,83.03,object
annual_cashflow.2022-06-30,827,83.03,object
annual_balance_sheet.2022-06-30,825,82.83,object
annual_income.2024-06-30,820,82.33,object
annual_cashflow.2024-06-30,820,82.33,object
annual_balance_sheet.2024-06-30,817,82.03,object
annual_income.2025-06-30,806,80.92,object
annual_balance_sheet.2025-06-30,806,80.92,object
annual_cashflow.2025-06-30,806,80.92,object
quarterly_income.2024-03-31,669,67.17,object
annual_income.2020-12-31,562,56.43,object
quarterly_income.2024-06-30,523,52.51,object
annual_balance_sheet.2020-12-31,502,50.4,object
annual_cashflow.2023-12-31,498,50.0,object
annual_income.2023-12-31,498,50.0,object
annual_balance_sheet.2023-12-31,497,49.9,object
annual_income.2022-12-31,490,49.2,object
annual_cashflow.2022-12-31,490,49.2,object
annual_cashflow.2020-12-31,490,49.2,object
annual_cashflow.2024-12-31,489,49.1,object
annual_balance_sheet.2022-12-31,489,49.1,object
annual_balance_sheet.2024-12-31,489,49.1,object
annual_income.2024-12-31,489,49.1,object
annual_cashflow.2021-12-31,483,48.49,object
annual_income.2021-12-31,482,48.39,object
annual_balance_sheet.2021-12-31,479,48.09,object
quarterly_cashflow.2025-09-30,344,34.54,object
quarterly_income.2025-09-30,329,33.03,object
quarterly_balance_sheet.2025-09-30,329,33.03,object
quarterly_balance_sheet.2024-03-31,327,32.83,object
quarterly_balance_sheet.2024-06-30,296,29.72,object
quarterly_cashflow.2024-03-31,258,25.9,object
quarterly_cashflow.2024-06-30,248,24.9,object
quarterly_cashflow.2025-06-30,188,18.88,object
quarterly_balance_sheet.2025-06-30,175,17.57,object
quarterly_cashflow.2025-03-31,170,17.07,object
quarterly_cashflow.2024-12-31,154,15.46,object
quarterly_income.2025-06-30,154,15.46,object
quarterly_balance_sheet.2025-03-31,153,15.36,object
quarterly_cashflow.2024-09-30,150,15.06,object
quarterly_income.2025-03-31,147,14.76,object
quarterly_balance_sheet.2024-09-30,144,14.46,object
quarterly_balance_sheet.2024-12-31,143,14.36,object
quarterly_income.2024-09-30,143,14.36,object
quarterly_income.2024-12-31,143,14.36,object
industry,16,1.61,object
sector,16,1.61,object
company_name,8,0.8,object
data_quality_cashflow.annual_data_available,0,0.0,bool
metrics.growth,0,0.0,object
data_quality_cashflow.data_freshness,0,0.0,object
data_quality_balance_sheet.quarterly_periods,0,0.0,int64
data_quality_balance_sheet.annual_periods,0,0.0,int64
data_quality_balance_sheet.missing_data_percentage,0,0.0,float64
_id,0,0.0,object
metrics.valuation,0,0.0,object
metrics.financial_health,0,0.0,object
data_quality_balance_sheet.quarterly_data_available,0,0.0,bool
ticker,0,0.0,object
data_quality_income.data_freshness,0,0.0,object
data_quality_income.annual_data_available,0,0.0,bool
data_quality_income.quarterly_periods,0,0.0,int64
data_quality_income.annual_periods,0,0.0,int64
data_quality_income.missing_data_percentage,0,0.0,float64
data_quality_income.quarterly_data_available,0,0.0,bool
data_quality_balance_sheet.data_freshness,0,0.0,object
data_quality_balance_sheet.annual_data_available,0,0.0,bool
data_quality_cashflow.quarterly_periods,0,0.0,int64
data_quality_cashflow.annual_periods,0,0.0,int64
data_quality_cashflow.missing_data_percentage,0,0.0,float64
data_quality_cashflow.quarterly_data_available,0,0.0,bool
